time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:59.161Z,0.0160,0.0163,-0.1138,-0.0018,-0.0045,0.0031
2026-03-11T13:55:59.171Z,0.0262,0.0115,-0.1571,-0.0021,-0.0053,0.0034
2026-03-11T13:55:59.180Z,0.0125,0.0088,-0.1552,-0.0012,-0.0061,0.0032
2026-03-11T13:55:59.190Z,0.0140,0.0151,-0.1282,-0.0041,-0.0031,0.0035
2026-03-11T13:55:59.202Z,0.0194,0.0319,-0.1171,-0.0018,-0.0038,0.0041
2026-03-11T13:55:59.210Z,0.0206,0.0143,-0.1547,-0.0026,-0.0040,0.0033
2026-03-11T13:55:59.221Z,0.0162,0.0098,-0.1721,-0.0008,-0.0071,0.0033
2026-03-11T13:55:59.230Z,0.0215,0.0131,-0.1092,-0.0040,-0.0038,0.0028
2026-03-11T13:55:59.240Z,0.0189,0.0184,-0.1284,-0.0016,-0.0053,0.0025
2026-03-11T13:55:59.252Z,0.0131,0.0254,-0.1269,-0.0026,-0.0035,0.0034
2026-03-11T13:55:59.260Z,0.0013,0.0057,-0.1321,-0.0038,-0.0039,0.0020
2026-03-11T13:55:59.271Z,0.0222,0.0100,-0.1309,-0.0025,-0.0034,0.0024
2026-03-11T13:55:59.280Z,0.0142,0.0120,-0.1511,-0.0027,-0.0051,0.0026
2026-03-11T13:55:59.290Z,0.0175,0.0228,-0.1424,-0.0032,-0.0037,0.0032
2026-03-11T13:55:59.302Z,0.0153,0.0147,-0.1078,-0.0028,-0.0035,0.0045
2026-03-11T13:55:59.310Z,0.0163,0.0159,-0.1236,-0.0024,-0.0043,0.0026
2026-03-11T13:55:59.321Z,0.0076,0.0186,-0.1643,-0.0022,-0.0064,0.0029
2026-03-11T13:55:59.330Z,0.0107,0.0175,-0.1290,-0.0022,-0.0045,0.0039
2026-03-11T13:55:59.340Z,0.0347,0.0127,-0.1296,-0.0021,-0.0039,0.0048
2026-03-11T13:55:59.350Z,0.0118,0.0176,-0.1180,-0.0033,-0.0043,0.0042
2026-03-11T13:55:59.360Z,0.0061,0.0204,-0.1602,-0.0042,-0.0022,0.0032
2026-03-11T13:55:59.371Z,0.0336,0.0246,-0.1155,-0.0035,-0.0030,0.0063
2026-03-11T13:55:59.380Z,0.0129,0.0095,-0.1474,-0.0029,-0.0047,0.0032
2026-03-11T13:55:59.390Z,0.0232,0.0071,-0.1367,-0.0034,-0.0031,0.0032
2026-03-11T13:55:59.400Z,0.0173,0.0106,-0.1182,-0.0048,-0.0029,0.0031
2026-03-11T13:55:59.410Z,0.0111,0.0142,-0.1287,-0.0047,-0.0027,0.0032
2026-03-11T13:55:59.421Z,0.0138,0.0172,-0.1426,-0.0032,-0.0038,0.0043
2026-03-11T13:55:59.430Z,0.0091,0.0180,-0.1457,-0.0038,-0.0024,0.0038
2026-03-11T13:55:59.440Z,0.0116,0.0046,-0.1315,-0.0028,-0.0050,0.0037
2026-03-11T13:55:59.450Z,0.0149,0.0072,-0.1433,-0.0040,-0.0041,0.0050
2026-03-11T13:55:59.460Z,0.0078,0.0082,-0.1436,-0.0015,-0.0043,0.0041
2026-03-11T13:55:59.471Z,0.0156,0.0128,-0.1320,-0.0029,-0.0047,0.0033
2026-03-11T13:55:59.480Z,0.0176,0.0015,-0.1185,-0.0061,-0.0041,0.0034
2026-03-11T13:55:59.490Z,0.0104,0.0137,-0.1282,-0.0035,-0.0032,0.0037
2026-03-11T13:55:59.500Z,0.0299,0.0136,-0.1338,-0.0045,-0.0024,0.0026
2026-03-11T13:55:59.510Z,0.0222,0.0157,-0.1351,-0.0039,-0.0026,0.0045
2026-03-11T13:55:59.521Z,0.0020,0.0152,-0.1338,-0.0044,-0.0026,0.0024
2026-03-11T13:55:59.530Z,0.0190,0.0107,-0.1415,-0.0030,-0.0038,0.0038
2026-03-11T13:55:59.540Z,0.0196,0.0141,-0.1412,-0.0041,-0.0037,0.0040
2026-03-11T13:55:59.550Z,0.0194,0.0091,-0.1369,-0.0045,-0.0045,0.0041
2026-03-11T13:55:59.560Z,0.0009,0.0103,-0.1356,-0.0038,-0.0033,0.0027
2026-03-11T13:55:59.570Z,0.0167,0.0200,-0.1249,-0.0030,-0.0044,0.0044
2026-03-11T13:55:59.580Z,0.0155,0.0170,-0.1537,-0.0011,-0.0041,0.0046
2026-03-11T13:55:59.590Z,0.0097,0.0088,-0.1326,-0.0021,-0.0052,0.0028
2026-03-11T13:55:59.600Z,0.0240,0.0082,-0.1420,-0.0023,-0.0047,0.0043
2026-03-11T13:55:59.610Z,0.0182,-0.0029,-0.1281,-0.0039,-0.0033,0.0029
2026-03-11T13:55:59.620Z,0.0152,0.0066,-0.1439,-0.0043,-0.0047,0.0047
2026-03-11T13:55:59.630Z,0.0124,0.0068,-0.1341,-0.0024,-0.0040,0.0048
2026-03-11T13:55:59.640Z,0.0138,0.0202,-0.1264,-0.0027,-0.0049,0.0043
2026-03-11T13:55:59.650Z,0.0054,0.0202,-0.1257,-0.0017,-0.0035,0.0027
2026-03-11T13:55:59.660Z,0.0124,0.0282,-0.1376,-0.0027,-0.0057,0.0030
